bank_name,card_name,card_type,card_category,card_usp,card_image_url,know_more_link,apply_now_link,joining_fee,annual_fee,annual_fee_waiver,add_on_card_fee,interest_rate_pa,card_replacement_fee,cash_payment_fee,duplicate_statement_fee,outstation_cheque_fee,hostlisting_charges,cash_withdrawal_fee,overdue_penalty_fee,over_limit_penalty,foreign_currency_transaction_fee,reward_point_redemption_fee,dynamic_currency_conversion_markup,education_transaction_fee,wallet_load_transaction_fee,fuel_transaction_fee,utility_transaction_fee,rewards_program,cashback_with_every_transaction,spend_based_reversal,flexipay,reward_points,rewards,features,returns_rate,welcome_benefit,welcome_points,milestone_benefit,bonus_points,fuel_benefits,dining_benefits,culinary_treats,travel_benefits,movie_benefits,OTT_benefits,cashback_offers,voucher_offers,mobile_app_benefits,stay_benefits,lifestyle_benefits,e_commerce,lounge_access,concierge_service,insurance,fraud_protection,health_and_wellness_benefits,security_features,international_use,full_card_description,eligibility_criteria,terms_and_conditions,features_clean,fuel_benefit,movie_offer,dining_offer,travel_offer,rewards_clean,milestone_rewards,cashback_offer,voucher_offer,travel_rewards,fuel_rewards,movie_rewards
SBI,Paytm SBI Card SELECT,Retail,Travel,"5% Cashback on Paytm Mall, Movies and Travel; 2% Cashback on all other purchases on Paytm App; 1% Cashback on any other spends across millions of offline and online stores.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/Paytm-SBI-Select_1.png,https://www.sbicard.com/en/personal/credit-cards/travel/paytm-sbi-card-select.page,https://www.sbicard.com/en/eapply.page,"Rs. 1,499","Rs. 1,499","Renewal Fee reversed if annual spends for last year >= Rs. 2,00,000",Nil,42%,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,3.5%,NILL,NILL,NILL,NILL,"1% Fuel Surcharge waiver for each transaction between Rs.500 and Rs.4000. Maximum Surcharge waiver of Rs. 250 per statement cycle, per credit card account",NILL,"Earn 5% Cashback on Paytm Mall, Movies and Travel; 2% Cashback on all other purchases on Paytm App; 1% Cashback on any other spends across millions of offline and online stores.",Yes,Annual fee reversed if spends > ₹1 lakh/year,"Yes, on spends above ₹2,500",False,"Complimentary Paytm First Membership; Cashback offers; Cyber Fraud Insurance cover of Rs. 2,00,000; Milestone benefits of vouchers worth Rs. 2000 and Rs. 4000 on achieving retail spends of Rs. 4 L and Rs. 6 L respectively.",Complimentary Priority Pass worth US $99 for first two years; 4 Domestic Lounge visits per year; Easy Bill Pay facility; Balance Transfer on EMI; Flexipay; Add-on cards available.,NILL,False,False,False,False,"1% Fuel Surcharge waiver for each transaction between Rs.500 and Rs.4000. Maximum Surcharge waiver of Rs. 250 per statement cycle, per credit card account",NILL,NILL,Complimentary Priority Pass worth US $99 for first two years; 4 Domestic Lounge visits per year.,NILL,NILL,"5% Cashback on Paytm Mall, Movies and Travel; 2% Cashback on all other purchases on Paytm App; 1% Cashback on any other spends across millions of offline and online stores.",NILL,"Manage your Paytm SBI Card with intelligent features on the Paytm App or SBI Card App; Use features like Spend Analyzer, Smart Spend Control & One Tap Lock / Unlock and Convenient Card Re-issue features on Paytm App.",NILL,NILL,NILL,True,NILL,False,NILL,NILL,NILL,False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",Minimum age of 21 years; Good credit score; Both self-employed and salaried persons can apply.,All dues must be paid on time; rewards program subject to change.,Complimentary Priority Pass worth US $99 for first two years; 4 Domestic Lounge visits per year; Easy Bill Pay facility; Balance Transfer on EMI; Flexipay; Add-on cards available.,False,False,False,False,"Complimentary Paytm First Membership; Cashback offers; Cyber Fraud Insurance cover of Rs. 2,00,000; Milestone benefits of vouchers worth Rs. 2000 and Rs. 4000 on achieving retail spends of Rs. 4 L and Rs. 6 L respectively.",True,True,True,False,False,False
SBI,Paytm SBI Card,Retail,Travel,"3% Cashback on Paytm Mall, Movies and Travel; 2% Cashback on all other purchases on Paytm App; 1% Cashback on any other spends across millions of offline and online stores.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/Paytm-SBI-Base-349x218-01.png,https://sbicard.com/en/personal/credit-cards/travel/paytm-sbi-card.page,https://sbicard.com/en/personal/credit-cards/travel/paytm-sbi-card.page,Rs. 499,Rs. 499,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"1% Fuel Surcharge waiver for each transaction between Rs.500 and Rs.3000. Maximum Surcharge waiver of Rs. 100 per statement cycle, per credit card account",NILL,"3% Cashback on Paytm Mall, Movies and Travel; 2% Cashback on all other purchases on Paytm App; 1% Cashback on any other spends across millions of offline and online stores.",1% Cashback on any other spends across millions of offline and online stores,NILL,"Yes, on spends above ₹2,500",False,"Complimentary Paytm First Membership; e-Voucher for renewal of Paytm First Membership on achieving retail spends of Rs.1,00,000 on your Credit Card during one Membership year.","Manage your Paytm SBI Card with intelligent features on the Paytm App or SBI Card App; Use features like Spend Analyzer, Smart Spend Control & One Tap Lock / Unlock and Convenient Card Re-issue features on Paytm App.",NILL,False,False,True,False,"1% Fuel Surcharge waiver for each transaction between Rs.500 and Rs.3000. Maximum Surcharge waiver of Rs. 100 per statement cycle, per credit card account",NILL,NILL,"Free travel insurance, airport transfers",Buy 1 Get 1 free ticket monthly,3 months free Netflix,"3% Cashback on Paytm Mall, Movies and Travel; 2% Cashback on all other purchases on Paytm App; 1% Cashback on any other spends across millions of offline and online stores",NILL,Extra points on app transactions,10% off at partner hotels,Free gym membership,2% cashback on Amazon/Flipkart,False,24x7 concierge for travel bookings,False,Zero liability if reported within 24 hours,NILL,"chip & PIN, contactless, 2FA",False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Manage your Paytm SBI Card with intelligent features on the Paytm App or SBI Card App; Use features like Spend Analyzer, Smart Spend Control & One Tap Lock / Unlock and Convenient Card Re-issue features on Paytm App.",False,False,False,False,"Complimentary Paytm First Membership; e-Voucher for renewal of Paytm First Membership on achieving retail spends of Rs.1,00,000 on your Credit Card during one Membership year.",True,False,True,False,False,False
SBI,Titan SBI Card,Retail,Shopping,Get 12000 Reward Points worth Rs. 3000 on payment of annual fees.,https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/Titan-349x218-03.png,https://www.sbicard.com/en/personal/credit-cards/shopping/titan-sbi-card.page,https://www.bankbazaar.com/credit-card.html?variant=slide&WT.mc_id=CROSS_SELL_IL_CCBUTTON_147196&utm_source=bb&utm_medium=seo&utm_campaign=CROSS_SELL_IL_CCBUTTON_147196,Rs. 2999 + Taxes,Rs. 2999 + Taxes,Spend Based Reversal on Annual Spends of Rs 3Lac as Milestone Rewards,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,6 Reward Points per Rs 100 spent on all other categories outside Titan spends.,"3% value back on Tanishq in form of Gift Vouchers, 5% cashback on Mia, Caratlane & Zoya, 7.5% cashback on World of Titan, Taneira, Titan Eye+, Helios, Fastrack, Skinn, Irth & Sonata.",Fee reversal is preconditioned on fee levied during the renewal cycle,Yes,False,"Free movie tickets, shopping vouchers.","8 complimentary Domestic Airport Lounges in a year, 4 complimentary International Airport Lounges in a year, Priority Pass Membership.",NILL,False,False,False,False,"1% fuel surcharge across all petrol pumps in India, on transactions up to Rs. 3,000, exclusive of GST and other charges.",20% off at select restaurants.,NILL,"Free travel insurance, airport transfers.",Buy 1 Get 1 free ticket monthly.,NILL,NILL,NILL,NILL,NILL,NILL,2% cashback on Amazon/Flipkart,True,NILL,False,Zero liability if reported within 24 hours.,NILL,"chip & PIN, contactless, 2FA.",True,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.","Minimum age 21 years, maximum age 70 years, regular source of income, good credit score",All dues must be paid on time; rewards program subject to change.,"8 complimentary Domestic Airport Lounges in a year, 4 complimentary International Airport Lounges in a year, Priority Pass Membership.",False,False,False,False,"Free movie tickets, shopping vouchers.",False,False,True,False,False,True
SBI,Reliance SBI Card,Retail,Shopping,Get Reliance Retail Voucher worth of Rs. 500/- on payment of joining fees.,https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/rel-base.png,https://www.sbicard.com/en/personal/credit-cards/shopping/reliance-sbi-card.page,https://sbicard.com/en/personal/credit-cards/shopping/reliance-sbi-card-prime.page,Rs. 499 + Taxes,Rs. 499 + Taxes,"Renewal Fee reversed if annual spends for last year >= Rs. 1,00,000",Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,5 Reward Points per Rs. 100/- spent on the participating Reliance Retail Stores.,NILL,NILL,"Yes, on spends above ₹2,500.",False,"Free movie tickets, shopping vouchers.","Contactless payments, lounge access.",NILL,False,False,False,False,1% fuel surcharge waiver.,20% off at select restaurants.,NILL,"Free travel insurance, airport transfers.",Buy 1 Get 1 free ticket monthly.,3 months free Netflix.,NILL,"₹500 Myntra voucher on spends > ₹50,000.",Extra points on app transactions.,10% off at partner hotels.,Free gym membership.,2% cashback on Amazon/Flipkart.,True,24x7 concierge for travel bookings.,False,Zero liability if reported within 24 hours.,NILL,"chip & PIN, contactless, 2FA.",False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access.",False,False,False,False,"Free movie tickets, shopping vouchers.",False,False,True,False,False,True
State Bank of India,Reliance SBI Card PRIME,Retail,Shopping,"Get Reliance Retail voucher worth Rs. 3,000 and additional discount vouchers worth Rs. 11,999 at participating Reliance Retail Stores.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/rel-prime.png,https://www.sbicard.com/en/personal/credit-cards/shopping/reliance-sbi-card-prime.page,https://www.sbicard.com/sprint/ReliancePrime,Rs. 2999 + Taxes,Rs. 2999 + Taxes,On annual spends of Rs. 3 Lakh,Nil,45%,Rs. 100 to Rs. 250,Rs. 199 to Rs. 250,,,,2.5% or a minimum of Rs. 500,,2.5% of the over limit amount; minimum of Rs. 600,3.5%,Rs. 99,,,,,,"10 Reward Points per Rs. 100 spent on participating Reliance Retail Stores; 5 Reward Points per Rs. 100 spent on dining, movies, entertainment, domestic airlines, and international spends; 2 Reward Points per Rs. 100 spent on other retail purchases (except fuel, property rental, wallet upload).","5% cashback on Jio Mart spends, up to Rs. 1,000 per month.",Annual fee waived on spending Rs. 3 Lakh in a year.,"Yes, on spends above Rs. 2,500.",False,"Reliance Retail vouchers worth Rs. 1,500 on annual spends of Rs. 75,000; Rs. 2,250 on annual spends of Rs. 1,50,000; Rs. 5,000 on annual spends of Rs. 3,00,000.","8 complimentary domestic airport lounges per year; 4 complimentary international airport lounges per year; 1 free movie ticket per month worth Rs. 250; 1% fuel surcharge waiver on transactions between Rs. 500 and Rs. 4,000.",0.5% to 2.5%,False,False,False,False,"1% fuel surcharge waiver across all petrol pumps in India, maximum waiver of Rs. 100 per statement cycle.",5 Reward Points per Rs. 100 spent on dining.,,,1 free movie ticket per month worth Rs. 250 via BookMyShow.,,,,,,,,True,,False,,,,True,"Reliance SBI Card PRIME offers premium shopping benefits, including high rewards on Reliance Retail spends, complimentary lounge access, and exclusive vouchers, making it ideal for frequent shoppers at Reliance brands.",Minimum age of 21 years and maximum of 70 years; must have a stable source of income; good credit score required.,All dues must be paid on time; rewards program subject to change.,"8 complimentary domestic airport lounges per year; 4 complimentary international airport lounges per year; 1 free movie ticket per month worth Rs. 250; 1% fuel surcharge waiver on transactions between Rs. 500 and Rs. 4,000.",True,True,False,False,"Reliance Retail vouchers worth Rs. 1,500 on annual spends of Rs. 75,000; Rs. 2,250 on annual spends of Rs. 1,50,000; Rs. 5,000 on annual spends of Rs. 3,00,000.",True,False,True,False,False,False
SBI,Lifestyle Home Centre SBI Card PRIME,Retail,Shopping,"Contactless Technology, Worldwide Acceptance, Guaranteed Peace of Mind, Credit Facility, Enhanced power to your family, Cash on the Go, Easy Bill Payment Facility, Balance Transfer, Flexipay, Easy Money Facility",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/lc-hc-prime-front.png,https://www.sbicard.com/en/personal/credit-cards/shopping/lifestyle-hc-sbi-card.page,https://www.sbicard.com/en/personal/credit-cards/shopping/hc-sbi-card-prime.page,NILL,2999,NILL,NILL,3.75%,100,250,NILL,NILL,NILL,2.5% or Rs.500,NILL,"2.5% of the overlimit amount or Rs.600, whichever is higher",3.5%,99,3.5%,NILL,NILL,NILL,"1% if total utility payments exceed Rs.50,000 in a billing cycle","Earn 15 Reward Points on every ₹100 spent at Landmark Stores, 10 Reward Points on every ₹100 spent at Dining & Movies, 2 Reward Points per ₹100 spent on other retail purchases",NILL,NILL,Yes,False,"Free movie tickets, shopping vouchers","Contactless payments, lounge access",NILL,False,False,False,False,1% fuel surcharge waiver,20% off at select restaurants,Chef's table invitations,"Free travel insurance, airport transfers",Buy 1 Get 1 free ticket monthly,3 months free Netflix,NILL,"₹500 Myntra voucher on spends > ₹50,000",Extra points on app transactions,10% off at partner hotels,Free gym membership,2% cashback on Amazon/Flipkart,True,24x7 concierge for travel bookings,False,Zero liability if reported within 24 hours,NILL,"Chip & PIN, contactless, 2FA",False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access",False,False,False,False,"Free movie tickets, shopping vouchers",False,False,True,False,False,True
SBI,Max SBI Card PRIME,Retail,Shopping,"12,000 bonus reward points equivalent to INR 3,000 on payment of annual fees.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/max-sbi-card-prime.png,https://www.sbicard.com/en/personal/credit-cards/shopping/max-sbi-card-prime.page,https://www.bankbazaar.com/credit-card.html?variant=slide&WT.mc_id=CROSS_SELL_IL_CCBUTTON_bluesvg_90248&utm_source=bb&utm_medium=seo&utm_campaign=CROSS_SELL_IL_CCBUTTON_bluesvg_90248,Rs. 2999 + Taxes,Rs. 2999 + Taxes,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"1% fuel surcharge waiver across all petrol pumps in India, on transactions of Rs. 500 - Rs. 4,000, exclusive of GST and other charges.",NILL,"Earn 15 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar). Earn 10 Reward Points on every 100 Rs. spent at Dining & Movies. Earn 2 Reward point per 100 Rs. spent on other retail purchases (Non fuel).",NILL,Annual fee reversed if spends > ₹1 lakh/year.,"Yes, on spends above ₹2,500.",False,"Cumulative milestone benefit upto 58,000 RP worth Rs 14,500.","Contactless payments, lounge access, complimentary priority pass membership.",NILL,False,False,False,False,1% fuel surcharge waiver.,20% off at select restaurants.,NILL,"Free travel insurance, airport transfers.",Buy 1 Get 1 free ticket monthly.,3 months free Netflix.,NILL,"₹500 Myntra voucher on spends > ₹50,000.",Extra points on app transactions.,10% off at partner hotels.,Free gym membership.,2% cashback on Amazon/Flipkart.,True,24x7 concierge for travel bookings.,False,Zero liability if reported within 24 hours.,NILL,"chip & PIN, contactless, 2FA.",False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access, complimentary priority pass membership.",False,False,False,False,"Cumulative milestone benefit upto 58,000 RP worth Rs 14,500.",True,False,False,False,False,False
SBI,Spar SBI Card PRIME,Retail,Shopping,"12,000 bonus reward points equivalent to INR 3,000 on payment of annual fees.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/SBI-Spar-Prime-01.png,https://www.sbicard.com/en/personal/credit-cards/shopping/spar-sbi-card-prime.page,https://www.sbicard.com/en/personal/credit-cards/shopping/spar-sbi-card-prime.page,Rs. 2999 + Taxes,Rs. 2999 + Taxes,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"Earn 15 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar). Earn 10 Reward Points on every 100 Rs. spent at Dining & Movies. Earn 2 Reward point per 100 Rs. spent on other retail purchases (Non fuel).",NILL,Annual fee reversed if spends > ₹1 lakh/year.,"Yes, on spends above ₹2,500.",False,"Free movie tickets, shopping vouchers.","Contactless payments, lounge access.",NILL,False,False,False,False,1% fuel surcharge waiver.,20% off at select restaurants.,Chef's table invitations.,"Free travel insurance, airport transfers.",Buy 1 Get 1 free ticket monthly.,3 months free Netflix.,NILL,"₹500 Myntra voucher on spends > ₹50,000.",Extra points on app transactions.,10% off at partner hotels.,Free gym membership.,2% cashback on Amazon/Flipkart.,True,24x7 concierge for travel bookings.,False,Zero liability if reported within 24 hours.,NILL,"chip & PIN, contactless, 2FA.",False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access.",False,False,False,False,"Free movie tickets, shopping vouchers.",False,False,True,False,False,True
SBI,Lifestyle Home Centre SBI Card SELECT,Retail,Shopping,Get 6000 bonus reward points equivalent to INR 1500 on payment of annual fees.,https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/lc-hc-select-front.png,https://www.sbicard.com/en/personal/credit-cards/shopping/lifestyle-hc-sbi-card-select.page,https://www.bankbazaar.com/credit-card/lifestyle-home-centre-sbi-card-select.html,Rs. 1499 + Taxes,Rs. 1499 + Taxes,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"Earn 10 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar) Dining & Movies.",NILL,NILL,"Yes, on spends above ₹2,500.",False,"Cumulative milestone benefit upto 34,400 RP worth Rs 8,600.","Contactless payments, lounge access.",NILL,False,False,False,False,"Enjoy freedom from paying the 1% fuel surcharge across all petrol pumps in India, on transactions of Rs. 500 - Rs. 3,000, exclusive of GST and other charges.",NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,Free gym membership.,2% cashback on Amazon/Flipkart.,True,NILL,False,Zero liability if reported within 24 hours.,NILL,"chip & PIN, contactless, 2FA.",False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access.",False,False,False,False,"Cumulative milestone benefit upto 34,400 RP worth Rs 8,600.",True,False,False,False,False,False
SBI,Max SBI Card SELECT,Retail,Shopping,"Get 6,000 bonus reward points equivalent to INR 1,500 on payment of annual fees.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/max-select.png,https://www.sbicard.com/en/personal/credit-cards/shopping/max-sbi-card-select.page,https://www.sbicard.com/en/personal/credit-cards/shopping/max-sbi-card-select.page,Rs. 1499,Rs. 1499,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"Earn 10 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar) Dining & Movies.",NILL,NILL,"Yes, on spends above ₹2,500.",False,Cumulative milestone benefit upto 34400 RP worth Rs 8600.,"Contactless payments, lounge access.",NILL,False,False,False,False,1% fuel surcharge waiver.,20% off at select restaurants.,NILL,"Free travel insurance, airport transfers.",Buy 1 Get 1 free ticket monthly.,3 months free Netflix.,NILL,"₹500 Myntra voucher on spends > ₹50,000.",Extra points on app transactions.,10% off at partner hotels.,Free gym membership.,2% cashback on Amazon/Flipkart.,True,24x7 concierge for travel bookings.,False,Zero liability if reported within 24 hours.,NILL,"chip & PIN, contactless, 2FA.",False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access.",False,False,False,False,Cumulative milestone benefit upto 34400 RP worth Rs 8600.,True,False,False,False,False,False
SBI,Spar SBI Card SELECT,Retail,Shopping,"Get 6,000 bonus reward points equivalent to INR 1,500 on payment of annual fees.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/SBI-Spar-Select-01.png,https://sbicard.com/en/personal/credit-cards/shopping/spar-sbi-card-select.page,https://www.sbicard.com/en/personal/credit-cards/shopping/spar-sbi-card-select.page,Rs. 1499,Rs. 1499,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"Earn 10 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar) Dining & Movies.",NILL,NILL,"Yes, on spends above ₹2,500",False,"Free movie tickets, shopping vouchers","Contactless payments, lounge access",NILL,False,False,False,False,1% fuel surcharge waiver across all petrol pumps in India.,20% off at select restaurants.,NILL,"Free travel insurance, airport transfers.",Buy 1 Get 1 free ticket monthly.,3 months free Netflix.,NILL,"₹500 Myntra voucher on spends > ₹50,000.",Extra points on app transactions.,10% off at partner hotels.,Free gym membership.,2% cashback on Amazon/Flipkart.,True,24x7 concierge for travel bookings.,False,Zero liability if reported within 24 hours.,NILL,"chip & PIN, contactless, 2FA.",False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access",False,False,False,False,"Free movie tickets, shopping vouchers",False,False,True,False,False,True
SBI Cards and Payment Services Limited,Lifestyle Home Centre SBI Card,Retail,Shopping,"Enjoy 5 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar) Dining & Movies.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/lc-hc-base-front.png,https://sbicard.com/en/personal/credit-cards/shopping/lifestyle-hc-sbi-card.page,https://sbicard.com/en/personal/credit-cards/shopping/lifestyle-hc-sbi-card.page,Rs. 499 + taxes,Rs. 499 + taxes,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,Earn 1 Reward Point on every Rs. 100 that you spend using the Lifestyle HC SBI Card,NILL,NILL,"Yes, on spends above ₹2,500",False,"Cumulative milestone benefit upto 16,000 RP worth Rs 4,000","Contactless payments, lounge access",NILL,False,False,False,False,1% fuel surcharge waiver,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,Free gym membership,2% cashback on Amazon/Flipkart,True,24x7 concierge for travel bookings,False,Zero liability if reported within 24 hours,NILL,"chip & PIN, contactless, 2FA",False,"This card offers premium shopping benefits, including high rewards and robust insurance, making it ideal for frequent shoppers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access",False,False,False,False,"Cumulative milestone benefit upto 16,000 RP worth Rs 4,000",True,False,False,False,False,False
SBI,Max SBI Card,Retail,Shopping,"Enjoy 5 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar) Dining & Movies",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/max-base.png,https://www.sbicard.com/en/personal/credit-cards/shopping/max-sbi-card.page,https://www.sbicard.com/en/eapply.page,Rs. 499 + taxes,Rs. 499 + taxes,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,Earn 1 Reward Point on every Rs. 100 that you spend using the Max SBI Card.,NILL,NILL,NILL,False,NILL,NILL,NILL,False,False,False,False,"Enjoy freedom from paying the 1% fuel surcharge across all petrol pumps in India, on transactions of Rs. 500 - Rs. 3,000, exclusive of GST and other charges.",NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,False,NILL,False,NILL,NILL,NILL,False,"This card offers premium shopping benefits, including high rewards on retail purchases, making it ideal for frequent shoppers.",NILL,NILL,NILL,False,False,False,False,NILL,False,False,False,False,False,False
SBI,Spar SBI Card,Retail,Shopping,"Get 2,000 bonus reward points equivalent to INR 500 on payment of annual fees.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/spar-base.png,https://www.sbicard.com/en/personal/credit-cards/shopping/spar-sbi-card.page,https://www.sbicard.com/en/eapply.page,Rs. 499 + Taxes,Rs. 499 + Taxes,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"Earn 5 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar) Dining & Movies",NILL,NILL,"Yes, on spends above ₹2,500",False,"Cumulative milestone benefit upto 16,000 RP worth Rs 4,000.","Contactless payments, lounge access, utility bill payment facility.",NILL,False,False,False,False,"Enjoy freedom from paying the 1% fuel surcharge across all petrol pumps in India, on transactions of Rs. 500 - Rs. 3,000 exclusive of GST and other charges.",NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,True,NILL,False,NILL,NILL,NILL,False,"This card offers premium shopping benefits, including bonus reward points on annual fees and various rewards on spending at Landmark Stores.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access, utility bill payment facility.",False,False,False,False,"Cumulative milestone benefit upto 16,000 RP worth Rs 4,000.",True,False,False,False,False,False
State Bank of India,SBI Card Unnati,Secured Credit Card,Shopping,"No annual fee for the first 4 years, cashback, and rewards on spending",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/UNNATI_349x218-px-front.png,https://www.sbicard.com/en/personal/credit-cards/shopping/sbi-card-unnati.page,https://www.sbicard.com/en/eapply.page,NILL,499,Waived off for first 4 years,NILL,3.50%,100,100,NILL,NILL,NILL,2.5% of transaction amount (Min ₹500),2% of payment amount (Min ₹500),2.5% of amount (Min ₹600),3.5%,99,NILL,NILL,NILL,1% surcharge waiver for transactions between ₹500 and ₹3000,NILL,1 Reward Point per ₹100 spent,"₹500 cashback on annual spends of ₹50,000 or more",NILL,"Yes, on spends above ₹2,500",False,"Cashback, fuel surcharge waiver, and reward points","Worldwide acceptance, contactless payments, add-on cards, utility bill payment facility, balance transfer on EMI",NILL,False,False,False,False,1% fuel surcharge waiver for transactions between ₹500 and ₹3000,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,False,NILL,False,NILL,NILL,NILL,False,"The SBI Card Unnati is a secured credit card that offers a range of benefits including no annual fee for the first four years, cashback on spending, and a rewards program, making it ideal for those new to credit or with limited credit history.","Minimum fixed deposit of ₹25,000 with SBI",All dues must be paid on time; rewards program subject to change.,"Worldwide acceptance, contactless payments, add-on cards, utility bill payment facility, balance transfer on EMI",False,False,False,False,"Cashback, fuel surcharge waiver, and reward points",False,True,False,False,True,False
